19.00 -91.00 -64.00 | 25.00 -40.00 -72.00
-40.00 -94.00 -70.00 | -38.00 -41.00 -75.00
-44.00 -93.00 -69.00 | -40.00 -41.00 -74.00
-44.00 -94.00 -68.00 | -41.00 -41.00 -73.00
-45.00 -93.00 -67.00 | -42.00 -41.00 -71.00
-47.00 -94.00 -65.00 | -44.00 -42.00 -69.00
-50.00 -94.00 -63.00 | -45.00 -42.00 -67.00
-53.00 -93.00 -60.00 | -49.00 -41.00 -64.00
-54.00 -93.00 -59.00 | -53.00 -41.00 -61.00
-57.00 -92.00 -56.00 | -54.00 -41.00 -60.00
-58.00 -93.00 -53.00 | -53.00 -42.00 -57.00
-59.00 -93.00 -52.00 | -56.00 -42.00 -54.00
-63.00 -92.00 -50.00 | -58.00 -41.00 -52.00
-64.00 -92.00 -49.00 | -59.00 -41.00 -50.00
-65.00 -92.00 -46.00 | -62.00 -41.00 -48.00
-68.00 -90.00 -43.00 | -63.00 -40.00 -46.00
-68.00 -90.00 -41.00 | -65.00 -40.00 -43.00
-70.00 -91.00 -38.00 | -65.00 -40.00 -40.00
-73.00 -89.00 -36.00 | -67.00 -39.00 -36.00
-73.00 -89.00 -32.00 | -68.00 -40.00 -33.00
-74.00 -88.00 -30.00 | -69.00 -39.00 -31.00
-76.00 -87.00 -27.00 | -70.00 -38.00 -27.00
-76.00 -87.00 -23.00 | -71.00 -38.00 -24.00
-76.00 -86.00 -19.00 | -71.00 -38.00 -19.00
-76.00 -87.00 -15.00 | -69.00 -39.00 -14.00
-75.00 -86.00 -10.00 | -69.00 -39.00 -11.00
-75.00 -86.00 -6.00 | -68.00 -39.00 -5.00
-73.00 -88.00 -2.00 | -67.00 -39.00 -1.00
-72.00 -87.00 2.00 | -65.00 -40.00 3.00
-71.00 -88.00 5.00 | -63.00 -40.00 5.00
-70.00 -88.00 7.00 | -63.00 -40.00 7.00
-68.00 -87.00 10.00 | -61.00 -39.00 12.00
-66.00 -88.00 14.00 | -60.00 -40.00 14.00
-64.00 -88.00 15.00 | -57.00 -41.00 16.00
-63.00 -88.00 18.00 | -53.00 -42.00 18.00
-60.00 -88.00 20.00 | -53.00 -41.00 21.00
-57.00 -89.00 21.00 | -49.00 -42.00 23.00
-56.00 -89.00 24.00 | -48.00 -42.00 24.00
-55.00 -89.00 24.00 | -47.00 -43.00 26.00
-53.00 -89.00 27.00 | -44.00 -42.00 28.00
-52.00 -89.00 29.00 | -43.00 -43.00 28.00
-51.00 -89.00 30.00 | -42.00 -42.00 30.00
-49.00 -89.00 31.00 | -41.00 -42.00 32.00
-48.00 -88.00 32.00 | -39.00 -43.00 32.00
-45.00 -89.00 33.00 | -37.00 -42.00 33.00
-45.00 -89.00 33.00 | -36.00 -43.00 34.00
-41.00 -89.00 36.00 | -33.00 -42.00 36.00
-38.00 -88.00 38.00 | -30.00 -43.00 39.00
-38.00 -89.00 39.00 | -28.00 -42.00 39.00
-39.00 -86.00 39.00 | -31.00 -40.00 41.00
-37.00 -87.00 41.00 | -29.00 -41.00 41.00
-33.00 -88.00 39.00 | -24.00 -42.00 41.00
-29.00 -88.00 41.00 | -21.00 -43.00 42.00
-26.00 -88.00 43.00 | -18.00 -42.00 43.00
-25.00 -88.00 44.00 | -15.00 -42.00 44.00
-20.00 -88.00 44.00 | -11.00 -43.00 45.00
-15.00 -88.00 45.00 | -6.00 -42.00 46.00
-14.00 -88.00 45.00 | -4.00 -41.00 46.00
-7.00 -88.00 46.00 | 1.00 -42.00 46.00
-4.00 -89.00 45.00 | 6.00 -41.00 45.00
-2.00 -88.00 45.00 | 7.00 -41.00 45.00
4.00 -89.00 43.00 | 13.00 -42.00 44.00
8.00 -90.00 40.00 | 16.00 -43.00 40.00
10.00 -91.00 38.00 | 19.00 -44.00 39.00
16.00 -91.00 36.00 | 26.00 -44.00 35.00
19.00 -92.00 33.00 | 30.00 -46.00 29.00
23.00 -94.00 29.00 | 34.00 -46.00 27.00
27.00 -94.00 26.00 | 34.00 -45.00 24.00
27.00 -93.00 25.00 | 37.00 -46.00 25.00
30.00 -94.00 24.00 | 39.00 -45.00 22.00
31.00 -93.00 23.00 | 40.00 -46.00 22.00
35.00 -93.00 21.00 | 43.00 -46.00 18.00
37.00 -94.00 19.00 | 47.00 -44.00 15.00
40.00 -92.00 16.00 | 49.00 -44.00 14.00
40.00 -93.00 12.00 | 49.00 -46.00 11.00
42.00 -93.00 10.00 | 53.00 -44.00 5.00
45.00 -94.00 4.00 | 55.00 -45.00 3.00
45.00 -95.00 2.00 | 56.00 -45.00 -1.00
47.00 -93.00 0.00 | 58.00 -44.00 -5.00
49.00 -93.00 -2.00 | 58.00 -44.00 -5.00
49.00 -93.00 -3.00 | 59.00 -44.00 -7.00
50.00 -93.00 -6.00 | 60.00 -44.00 -11.00
50.00 -93.00 -11.00 | 59.00 -44.00 -17.00
50.00 -95.00 -16.00 | 59.00 -44.00 -19.00
49.00 -95.00 -19.00 | 59.00 -45.00 -25.00
49.00 -96.00 -25.00 | 57.00 -45.00 -31.00
48.00 -95.00 -29.00 | 58.00 -44.00 -34.00
47.00 -95.00 -33.00 | 56.00 -45.00 -39.00
46.00 -96.00 -36.00 | 56.00 -45.00 -41.00
44.00 -96.00 -38.00 | 54.00 -45.00 -45.00
43.00 -96.00 -42.00 | 51.00 -45.00 -48.00
40.00 -98.00 -45.00 | 48.00 -46.00 -51.00
38.00 -99.00 -47.00 | 47.00 -46.00 -54.00
35.00 -99.00 -49.00 | 42.00 -48.00 -54.00
33.00 -99.00 -50.00 | 39.00 -48.00 -57.00
30.00 -99.00 -53.00 | 37.00 -48.00 -59.00
28.00 -99.00 -54.00 | 35.00 -48.00 -62.00
28.00 -100.00 -56.00 | 32.00 -47.00 -64.00
26.00 -99.00 -59.00 | 31.00 -48.00 -66.00
23.00 -99.00 -60.00 | 29.00 -47.00 -69.00
21.00 -98.00 -63.00 | 25.00 -47.00 -71.00


23.00 -100.00 -65.00 | 30.00 -48.00 -74.00
20.00 -100.00 -64.00 | 28.00 -49.00 -71.00
20.00 -101.00 -64.00 | 27.00 -49.00 -72.00
24.00 -99.00 -65.00 | 31.00 -47.00 -73.00
23.00 -98.00 -66.00 | 30.00 -47.00 -74.00
21.00 -98.00 -69.00 | 27.00 -47.00 -77.00
10.00 -98.00 -74.00 | 17.00 -46.00 -83.00
5.00 -97.00 -80.00 | 11.00 -44.00 -87.00
2.00 -95.00 -79.00 | 8.00 -44.00 -89.00
-2.00 -95.00 -81.00 | 4.00 -43.00 -90.00
-7.00 -95.00 -80.00 | -1.00 -43.00 -89.00
-8.00 -96.00 -81.00 | -3.00 -44.00 -89.00
-12.00 -95.00 -81.00 | -10.00 -43.00 -89.00
-16.00 -95.00 -81.00 | -10.00 -44.00 -89.00
