-77.00 -86.00 -47.00 | -78.00 -36.00 -41.00
-78.00 -84.00 -45.00 | -79.00 -35.00 -37.00
-80.00 -84.00 -42.00 | -81.00 -35.00 -35.00
-81.00 -83.00 -43.00 | -81.00 -34.00 -31.00
-82.00 -82.00 -37.00 | -82.00 -35.00 -25.00
-83.00 -81.00 -34.00 | -82.00 -34.00 -23.00
-84.00 -81.00 -32.00 | -82.00 -34.00 -17.00
-84.00 -80.00 -30.00 | -82.00 -34.00 -14.00
-84.00 -80.00 -28.00 | -83.00 -33.00 -11.00
-86.00 -79.00 -26.00 | -83.00 -34.00 -8.00
-85.00 -79.00 -23.00 | -82.00 -33.00 -6.00
-85.00 -79.00 -20.00 | -82.00 -33.00 -1.00
-86.00 -79.00 -18.00 | -82.00 -33.00 3.00
-86.00 -77.00 -14.00 | -81.00 -32.00 6.00
-85.00 -77.00 -12.00 | -79.00 -32.00 10.00
-87.00 -76.00 -11.00 | -78.00 -32.00 11.00
-87.00 -75.00 -9.00 | -78.00 -31.00 13.00
-87.00 -75.00 -6.00 | -77.00 -32.00 15.00
-87.00 -74.00 -5.00 | -76.00 -32.00 16.00

